practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,22.0,0.0005545874076312004,False,0.003362699999797769,0.1923530999997638,['space'],1,[0.7249687999999423],514.8151631000001,515.8345849000002,None,1,515.8345849000002,514.8151631000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,15.0,0.000247725095402395,False,0.011764566666442988,None,['space'],1,[0.7506276999999955],523.2060213,524.2081048999999,None,1,524.2081048999999,523.2060213,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,1148.6983549970344,12.0,0.00020013670815014113,False,0.0003222000000278058,0.19083950000003824,['space'],1,[0.7112008999999944],528.7187539000001,529.7150725000001,None,1,529.7150725000001,528.7187539000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.011846633333334466,None,None,0,,531.6737017,532.6824903000002,None,1,532.6824903000002,531.6737017,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,757.8582832551998,16.0,0.0002541762278232689,False,0.013585766666437848,0.21141626666667435,['space'],1,[0.8080320999999913],536.5885432,537.5962998999998,None,1,537.5962998999998,536.5885432,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,250.0,22.0,0.002108482517142911,False,0.016048500000124477,None,['space'],1,[0.796514100000195],540.9198953999999,541.9217487000001,None,1,541.9217487000001,540.9198953999999,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,353.5533905932738,27.0,0.001983782967722933,False,0.004544033333331754,None,['space'],1,[0.7723250999999891],546.2088231000002,547.2224615,None,1,547.2224615,546.2088231000002,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,9.0,0.00012415665526477852,False,0.009238133333383303,None,None,0,,550.7915281,551.8039478999999,None,1,551.8039478999999,550.7915281,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,500.0,23.0,0.0010091831818407806,False,0.004999866666821617,None,['space'],1,[0.7074804999999742],557.0094069000002,558.0051152999999,None,1,558.0051152999999,557.0094069000002,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,1624.5047927124701,14.0,0.00028997193917412587,False,0.014948800000183837,None,['space'],1,[0.8264408000002277],562.4909394000001,563.4994323000001,None,1,563.4994323000001,562.4909394000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
