practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015940933488309383,None,None,0,,277.61950499995146,278.6241102999775,None,1,278.6241102999775,277.61950499995146,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,3.0,0.0002564306919956826,False,0.009985533426515758,None,['space'],1,[0.44547689997125417],282.0511006000452,283.0658586999634,None,1,283.0658586999634,282.0511006000452,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,307.7861033362292,20.0,0.0010626360360927124,False,0.0025310333585366607,0.19000213337130845,['space'],1,[0.5346033000387251],287.5149538000114,288.5323469999712,None,1,288.5323469999712,287.5149538000114,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,3482.202253184498,0.0,7.485072584861476e-05,False,0.014981199987232685,None,['space'],1,[0.43809730000793934],292.619470500038,293.61772890004795,None,1,293.61772890004795,292.619470500038,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,164.93848884661182,16.0,0.0024805170545709183,False,0.0009119999594986439,None,None,0,,296.88397269998677,297.90390989999287,None,1,297.90390989999287,296.88397269998677,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,2000.0,0.0,7.481178280472168e-05,False,0.0033044667216017842,None,['space'],1,[0.6677017000038177],302.068852800061,303.08164330001455,None,1,303.08164330001455,302.068852800061,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.006756133399903774,None,None,0,,304.22607360000256,305.22930670005735,None,1,305.22930670005735,304.22607360000256,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,812.2523963562351,15.0,0.00021771781178373805,False,0.014534299960359931,None,['space'],1,[0.4846945999888703],308.49228929996025,309.5000849000644,None,1,309.5000849000644,308.49228929996025,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,5656.85424949238,-2.0,0.00010208999268889497,False,0.011169133242219687,None,None,0,,312.67149920004886,313.69061930000316,None,1,313.69061930000316,312.67149920004886,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,0.0,0.0001815390273850507,False,0.008006366668269038,None,['space'],1,[0.4850213999161497],317.94788570003584,318.9434442999773,None,1,318.9434442999773,317.94788570003584,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
